id,name,lat,lng
338,Fukuoka,33.6,130.4167
339,Jincheng,35.4906,112.8483
340,Vancouver,49.25,-123.1
341,Tangerang,-6.1783,106.6319
342,Sanmenxia,34.7736,111.195
343,Laibin,23.7333,109.2333
344,Queens,40.7498,-73.7976
345,Qinbaling,35.7278,107.64
346,Xining,36.6239,101.7787
347,Ma'anshan,31.6858,118.5101
348,Yan'an,36.5952,109.4863
349,Baku,40.3667,49.8352
350,Gaoping,30.7824,106.1281
351,Harare,-17.8292,31.0522
352,Havana,23.1367,-82.3589
353,Phnom Penh,11.5696,104.921
354,Ningbo,29.875,121.5492
355,Mogadishu,2.0408,45.3425
356,Puning,23.2993,116.1586
357,Medan,3.6667,98.6667
358,Huaibei,33.9562,116.789
359,Qingyang,24.8141,118.5792
360,Riverside,33.9381,-117.3948
361,Baltimore,39.3051,-76.6144
362,Haiphong,20.8,106.6667
363,Las Vegas,36.2333,-115.2654
364,Chongzuo,22.4167,107.3667
365,Rawalpindi,33.6007,73.0679
366,Kumasi,6.6833,-1.6167
367,Portland,45.5372,-122.65
368,Vadodara,22.3,73.2
369,Hezhou,24.4164,111.5478
370,Pingliang,35.5412,106.6819
371,San Antonio,29.4658,-98.5253
372,Perth,-31.9522,115.8589
373,Vishakhapatnam,17.7333,83.3167
374,Shengli,37.45,118.4667
375,Gujranwala,32.15,74.1833
376,Baicheng,45.6148,122.832
377,Fushun,41.8708,123.8917
378,St. Louis,38.6358,-90.2451
379,Bamako,12.6458,-7.9922
380,Quito,-0.22,-78.5125
381,Minsk,53.9022,27.5618
382,Indore,22.7206,75.8472
383,Yinchuan,38.4795,106.2254
384,Kananga,-5.8961,22.4167
385,Peshawar,34,71.5
386,Sapporo,43.0621,141.3544
387,Esfahan,32.6447,51.6675
388,Caracas,10.5,-66.9333
389,Pingxiang,27.6333,113.85
390,Aleppo,36.2,37.15
391,Tijuana,32.525,-117.0333
392,Almaty,43.25,76.9
393,Vienna,48.2083,16.3725
394,Thane,19.18,72.9633
395,Sacramento,38.5667,-121.4683
396,Blantyre,-15.7861,35.0058
397,Tainan,22.9833,120.1833
398,Zhuhai,22.2769,113.5678
399,Bucharest,44.4,26.0833
400,Curitiba,-25.4297,-49.2719
401,Multan,30.1978,71.4711
402,Xiping,40.082,113.2981
403,Ecatepec,19.6097,-99.06
404,Jixi,45.2937,130.965
405,Saidu Sharif,34.75,72.3572
406,Liaoyang,41.2643,123.1772
407,Hamburg,53.55,10
408,Meru,0.05,37.65
409,Brazzaville,-4.2667,15.2833
410,Orlando,28.4772,-81.3369
411,Fuxin,42.0127,121.6486
412,Wuwei,37.9278,102.6329
413,Manaus,-3.1,-60.0167
414,Bhopal,23.25,77.4167
415,San Jose,37.3019,-121.8486
416,Warsaw,52.23,21.0111
417,Lubumbashi,-11.6697,27.4581
418,Davao,7.0667,125.6
419,Haikou,20.02,110.32
420,Damascus,33.5131,36.2919
421,Shuyangzha,34.1299,118.7734
422,Brussels,50.8353,4.3314
423,Lusaka,-15.4167,28.2833
424,Hyderabad name,25.3792,68.3683
425,Budapest,47.4983,19.0408
426,Shuozhou,39.3408,112.4292
427,Cleveland,41.4767,-81.6804
428,Benxi,41.292,123.761
429,Baiyin,36.5448,104.1766
430,Pittsburgh,40.4396,-79.9762
431,Patna,25.61,85.1414
432,Mosul,36.3667,43.1167
433,Caloocan name,14.65,120.9667
434,Austin,30.3004,-97.7522
435,Sanzhou,30.82,108.4
436,Beihai,21.4667,109.1
437,Mecca,21.4225,39.8261
438,Heihe,50.2458,127.4886
439,Jingdezhen,29.2942,117.2036
440,Conakry,9.538,-13.6773
441,Kampala,0.3136,32.5811
442,Cincinnati,39.1413,-84.5061
443,Recife,-8.0539,-34.8808
444,Yushan,31.3867,120.9766
445,Zhongli,24.965,121.2168
446,Kansas name,39.1239,-94.5541
